[Epoch 2 | Batch 055 ] loss = 1.2547 L2 = 0.0128, Cosine = 0.9841
[Epoch 2 | Batch 056 ] loss = 1.3092 L2 = 0.0146, Cosine = 0.9861
[Epoch 2 | Batch 057 ] loss = 1.2734 L2 = 0.0131, Cosine = 0.9873
[Epoch 2 | Batch 058 ] loss = 1.2783 L2 = 0.0146, Cosine = 0.9850
[Epoch 2 | Batch 059 ] loss = 1.3234 L2 = 0.0146, Cosine = 0.9864
[Epoch 2 | Batch 060 ] loss = 1.2749 L2 = 0.0145, Cosine = 0.9872
[Epoch 2 | Batch 061 ] loss = 1.4262 L2 = 0.0153, Cosine = 0.9848
[Epoch 2 | Batch 062 ] loss = 1.2597 L2 = 0.0161, Cosine = 0.9845
[Epoch 2 | Batch 063 ] loss = 1.2680 L2 = 0.0135, Cosine = 0.9877
[Epoch 2 | Batch 064 ] loss = 1.2552 L2 = 0.0156, Cosine = 0.9874
[Epoch 2 | Batch 065 ] loss = 1.2851 L2 = 0.0162, Cosine = 0.9824
[Epoch 2 | Batch 066 ] loss = 1.3083 L2 = 0.0159, Cosine = 0.9847
[Epoch 2 | Batch 067 ] loss = 1.3502 L2 = 0.0153, Cosine = 0.9896
[Epoch 2 | Batch 068 ] loss = 1.3316 L2 = 0.0155, Cosine = 0.9878
[Epoch 2 | Batch 069 ] loss = 1.2942 L2 = 0.0155, Cosine = 0.9833
[Epoch 2 | Batch 070 ] loss = 1.2732 L2 = 0.0143, Cosine = 0.9892
[Epoch 2 | Batch 071 ] loss = 1.2586 L2 = 0.0154, Cosine = 0.9776
[Epoch 2 | Batch 072 ] loss = 1.3254 L2 = 0.0146, Cosine = 0.9915
[Epoch 2 | Batch 073 ] loss = 1.2383 L2 = 0.0141, Cosine = 0.9895
[Epoch 2 | Batch 074 ] loss = 1.2745 L2 = 0.0160, Cosine = 0.9805
[Epoch 2 | Batch 075 ] loss = 1.2596 L2 = 0.0152, Cosine = 0.9876
[Epoch 2 | Batch 076 ] loss = 1.2504 L2 = 0.0151, Cosine = 0.9797
[Epoch 2 | Batch 077 ] loss = 1.2546 L2 = 0.0142, Cosine = 0.9874
[Epoch 2 | Batch 078 ] loss = 1.2776 L2 = 0.0150, Cosine = 0.9816
[Epoch 2 | Batch 079 ] loss = 1.2035 L2 = 0.0152, Cosine = 0.9796
[Epoch 2 | Batch 080 ] loss = 1.2332 L2 = 0.0162, Cosine = 0.9856
[Epoch 2 | Batch 081 ] loss = 1.2486 L2 = 0.0152, Cosine = 0.9791
[Epoch 2 | Batch 082 ] loss = 1.2331 L2 = 0.0142, Cosine = 0.9872
[Epoch 2 | Batch 083 ] loss = 1.2333 L2 = 0.0202, Cosine = 0.9740
[Epoch 2 | Batch 084 ] loss = 1.2984 L2 = 0.0175, Cosine = 0.9829
[Epoch 2 | Batch 085 ] loss = 1.1598 L2 = 0.0151, Cosine = 0.9850
[Epoch 2 | Batch 086 ] loss = 1.2280 L2 = 0.0167, Cosine = 0.9904
[Epoch 2 | Batch 087 ] loss = 1.2690 L2 = 0.0157, Cosine = 0.9801
[Epoch 2 | Batch 088 ] loss = 1.3327 L2 = 0.0168, Cosine = 0.9857
[Epoch 2 | Batch 089 ] loss = 1.2188 L2 = 0.0150, Cosine = 0.9857
[Epoch 2 | Batch 090 ] loss = 1.1863 L2 = 0.0146, Cosine = 0.9843
[Epoch 2 | Batch 091 ] loss = 1.2785 L2 = 0.0165, Cosine = 0.9852
[Epoch 2 | Batch 092 ] loss = 1.2139 L2 = 0.0158, Cosine = 0.9862
[Epoch 2 | Batch 093 ] loss = 1.1213 L2 = 0.0165, Cosine = 0.9803
[Epoch 2 | Batch 094 ] loss = 1.1686 L2 = 0.0201, Cosine = 0.9858
[Epoch 2 | Batch 095 ] loss = 1.1322 L2 = 0.0180, Cosine = 0.9773
[Epoch 2 | Batch 096 ] loss = 1.1543 L2 = 0.0194, Cosine = 0.9803
[Epoch 2 | Batch 097 ] loss = 1.0956 L2 = 0.0193, Cosine = 0.9814
Epoch [2] Test Acc: 43.21% 
[Epoch 3 | Batch 000 ] loss = 1.3251 L2 = 0.0386, Cosine = 0.9583
[Epoch 3 | Batch 001 ] loss = 1.0847 L2 = 0.0318, Cosine = 0.9125
[Epoch 3 | Batch 002 ] loss = 1.2151 L2 = 0.0336, Cosine = 0.9512
[Epoch 3 | Batch 003 ] loss = 1.1529 L2 = 0.0299, Cosine = 0.9455
[Epoch 3 | Batch 004 ] loss = 1.1422 L2 = 0.0255, Cosine = 0.9511
[Epoch 3 | Batch 005 ] loss = 1.2017 L2 = 0.0272, Cosine = 0.9618
[Epoch 3 | Batch 006 ] loss = 1.1973 L2 = 0.0291, Cosine = 0.9432
[Epoch 3 | Batch 007 ] loss = 1.1386 L2 = 0.0343, Cosine = 0.9071
[Epoch 3 | Batch 008 ] loss = 1.2917 L2 = 0.0344, Cosine = 0.9510
[Epoch 3 | Batch 009 ] loss = 1.1222 L2 = 0.0296, Cosine = 0.9279
[Epoch 3 | Batch 010 ] loss = 1.1030 L2 = 0.0309, Cosine = 0.9408
[Epoch 3 | Batch 011 ] loss = 1.1245 L2 = 0.0290, Cosine = 0.9642
[Epoch 3 | Batch 012 ] loss = 1.0537 L2 = 0.0266, Cosine = 0.9389
[Epoch 3 | Batch 013 ] loss = 1.1696 L2 = 0.0310, Cosine = 0.9408
[Epoch 3 | Batch 014 ] loss = 1.1898 L2 = 0.0313, Cosine = 0.9625
[Epoch 3 | Batch 015 ] loss = 1.1294 L2 = 0.0324, Cosine = 0.9299
[Epoch 3 | Batch 016 ] loss = 1.1021 L2 = 0.0307, Cosine = 0.9266
[Epoch 3 | Batch 017 ] loss = 1.1503 L2 = 0.0335, Cosine = 0.9328
[Epoch 3 | Batch 018 ] loss = 1.1033 L2 = 0.0318, Cosine = 0.9541
[Epoch 3 | Batch 019 ] loss = 1.1593 L2 = 0.0302, Cosine = 0.9410
[Epoch 3 | Batch 020 ] loss = 1.0244 L2 = 0.0282, Cosine = 0.9461
[Epoch 3 | Batch 021 ] loss = 1.1848 L2 = 0.0297, Cosine = 0.9367
[Epoch 3 | Batch 022 ] loss = 1.1384 L2 = 0.0315, Cosine = 0.9480
[Epoch 3 | Batch 023 ] loss = 1.0714 L2 = 0.0304, Cosine = 0.9635
[Epoch 3 | Batch 024 ] loss = 1.1738 L2 = 0.0304, Cosine = 0.9641
[Epoch 3 | Batch 025 ] loss = 1.1337 L2 = 0.0355, Cosine = 0.9680
[Epoch 3 | Batch 026 ] loss = 1.1634 L2 = 0.0311, Cosine = 0.9710
[Epoch 3 | Batch 027 ] loss = 1.0693 L2 = 0.0310, Cosine = 0.9575
[Epoch 3 | Batch 028 ] loss = 1.0393 L2 = 0.0325, Cosine = 0.9558
[Epoch 3 | Batch 029 ] loss = 1.1427 L2 = 0.0337, Cosine = 0.9321
[Epoch 3 | Batch 030 ] loss = 1.0770 L2 = 0.0306, Cosine = 0.9513
[Epoch 3 | Batch 031 ] loss = 1.1175 L2 = 0.0310, Cosine = 0.9605
[Epoch 3 | Batch 032 ] loss = 1.1097 L2 = 0.0324, Cosine = 0.9623
[Epoch 3 | Batch 033 ] loss = 1.1208 L2 = 0.0300, Cosine = 0.9587
[Epoch 3 | Batch 034 ] loss = 1.0808 L2 = 0.0277, Cosine = 0.9632
[Epoch 3 | Batch 035 ] loss = 1.1854 L2 = 0.0294, Cosine = 0.9548
[Epoch 3 | Batch 036 ] loss = 1.0016 L2 = 0.0277, Cosine = 0.9530
[Epoch 3 | Batch 037 ] loss = 1.1156 L2 = 0.0285, Cosine = 0.9584
[Epoch 3 | Batch 038 ] loss = 1.0684 L2 = 0.0294, Cosine = 0.9447
[Epoch 3 | Batch 039 ] loss = 1.0637 L2 = 0.0285, Cosine = 0.9691
[Epoch 3 | Batch 040 ] loss = 1.1081 L2 = 0.0304, Cosine = 0.9648
[Epoch 3 | Batch 041 ] loss = 1.0633 L2 = 0.0320, Cosine = 0.9438
[Epoch 3 | Batch 042 ] loss = 0.9334 L2 = 0.0291, Cosine = 0.9547
[Epoch 3 | Batch 043 ] loss = 1.1212 L2 = 0.0317, Cosine = 0.9688
[Epoch 3 | Batch 044 ] loss = 0.9971 L2 = 0.0292, Cosine = 0.9539
[Epoch 3 | Batch 045 ] loss = 1.0680 L2 = 0.0319, Cosine = 0.9574
[Epoch 3 | Batch 046 ] loss = 1.0992 L2 = 0.0328, Cosine = 0.9480
[Epoch 3 | Batch 047 ] loss = 1.1274 L2 = 0.0316, Cosine = 0.9463
[Epoch 3 | Batch 048 ] loss = 1.0077 L2 = 0.0289, Cosine = 0.9571
[Epoch 3 | Batch 049 ] loss = 1.0893 L2 = 0.0281, Cosine = 0.9623
